"State","District","Crop","Season","Yield-2022-23","Yield-2023-24","Yield-2024-25"
"Andhra Pradesh","Annamayya","Gram","Rabi","1500.00","706.00","879.00"
"Andhra Pradesh","Annamayya","Gram","Total","1500.00","706.00","879.00"
"Andhra Pradesh","Annamayya","Urad","Kharif","730.00","816.00","771.00"
"Andhra Pradesh","Annamayya","Urad","Rabi","1388.00","873.00","865.00"
"Andhra Pradesh","Annamayya","Urad","Total","1216.00","865.00","850.00"
"Andhra Pradesh","Annamayya","Moong","Kharif","394.00","358.00","457.00"
"Andhra Pradesh","Annamayya","Moong","Rabi","936.00","568.00","668.00"
"Andhra Pradesh","Annamayya","Moong","Total","713.00","546.00","639.00"
"Andhra Pradesh","Annamayya","Other Pulses","Kharif","428.00","510.00","1290.00"
"Andhra Pradesh","Annamayya","Other Pulses","Rabi","511.00","455.00","684.00"
"Andhra Pradesh","Annamayya","Other Pulses","Total","483.00","462.00","698.00"
"Andhra Pradesh","Annamayya","Total Pulses","Total","458.00","444.00","690.00"
"Andhra Pradesh","Annamayya","Total Food Grains","Kharif","2982.00","3551.00","3736.00"
"Andhra Pradesh","Annamayya","Total Food Grains","Rabi","2876.00","2196.00","887.00"
"Andhra Pradesh","Annamayya","Total Food Grains","Total","2947.00","3047.00","1666.00"
"Andhra Pradesh","Bapatla","Rice","Kharif","4145.00","3466.00","3651.00"
"Andhra Pradesh","Bapatla","Rice","Rabi","4316.00","3160.00","3745.00"
"Andhra Pradesh","Bapatla","Rice","Total","4168.00","3444.00","3664.00"
"Andhra Pradesh","Bapatla","Maize","Kharif","4913.00","4495.00","5253.00"
"Andhra Pradesh","Bapatla","Maize","Rabi","11620.00","8732.00","8733.00"
"Andhra Pradesh","Bapatla","Maize","Total","11424.00","8518.00","8476.00"
"Andhra Pradesh","Bapatla","Jowar","Kharif","1125.00","1416.00","437.00"
"Andhra Pradesh","Bapatla","Jowar","Rabi","8293.00","6036.00","6919.00"
"Andhra Pradesh","Bapatla","Jowar","Total","8286.00","6033.00","6911.00"
"Andhra Pradesh","Bapatla","Bajra","Kharif","2311.00","2029.00","2551.00"
"Andhra Pradesh","Bapatla","Bajra","Total","2311.00","2029.00","2551.00"
"Andhra Pradesh","Bapatla","Ragi","Kharif","","","1995.00"
"Andhra Pradesh","Bapatla","Ragi","Rabi","917.00","",""
"Andhra Pradesh","Bapatla","Ragi","Total","917.00","","1995.00"
"Andhra Pradesh","Bapatla","Small Millets","Kharif","","","1811.00"
"Andhra Pradesh","Bapatla","Small Millets","Rabi","1750.00","",""
"Andhra Pradesh","Bapatla","Small Millets","Total","1750.00","","1811.00"
"Andhra Pradesh","Bapatla","Shree Anna /Nutri Cereals","Kharif","2132.00","1891.00","2200.00"
"Andhra Pradesh","Bapatla","Shree Anna /Nutri Cereals","Rabi","8139.00","6036.00","6919.00"
"Andhra Pradesh","Bapatla","Shree Anna /Nutri Cereals","Total","8101.00","6022.00","6739.00"
"Andhra Pradesh","Bapatla","Nutri/Coarse Cereals","Kharif","4797.00","4416.00","4853.00"
"Andhra Pradesh","Bapatla","Nutri/Coarse Cereals","Rabi","11029.00","7881.00","8309.00"
"Andhra Pradesh","Bapatla","Nutri/Coarse Cereals","Total","10871.00","7756.00","8082.00"
"Andhra Pradesh","Bapatla","Cereals","Kharif","4153.00","3477.00","3681.00"
"Andhra Pradesh","Bapatla","Cereals","Rabi","9368.00","6955.00","6916.00"
"Andhra Pradesh","Bapatla","Cereals","Total","6187.00","4449.00","4760.00"
"Andhra Pradesh","Bapatla","Tur","Kharif","332.00","816.00","953.00"
"Andhra Pradesh","Bapatla","Tur","Rabi","351.00","",""
"Andhra Pradesh","Bapatla","Tur","Total","333.00","816.00","953.00"
"Andhra Pradesh","Bapatla","Gram","Rabi","2412.00","1662.00","1917.00"
"Andhra Pradesh","Bapatla","Gram","Total","2412.00","1662.00","1917.00"
"Andhra Pradesh","Bapatla","Urad","Kharif","698.00","1195.00","397.00"
"Andhra Pradesh","Bapatla","Urad","Rabi","1601.00","1317.00","1445.00"
"Andhra Pradesh","Bapatla","Urad","Total","1520.00","1306.00","1355.00"
"Andhra Pradesh","Bapatla","Moong","Kharif","576.00","901.00","451.00"
"Andhra Pradesh","Bapatla","Moong","Rabi","1419.00","1340.00","1349.00"
"Andhra Pradesh","Bapatla","Moong","Total","1416.00","1335.00","1346.00"
"Andhra Pradesh","Bapatla","Other Pulses","Kharif","667.00","608.00","900.00"
"Andhra Pradesh","Bapatla","Other Pulses","Rabi","1000.00","781.00","996.00"
"Andhra Pradesh","Bapatla","Other Pulses","Total","987.00","746.00","979.00"
